Name,Chocolate,Nougat,Caramel,Peanuts,Peanut Butter,Wafer,Coconut,Almonds,Candy Coating,Crisped Rice,Taffy,Toffee,Pretzel,Cookie Bits,Mint,Fudge,Hazelnut
Snickers,1,1,1,1,,,,,,,,,,,,,
Reese's,1,,,,1,,,,,,,,,,,,
Kit Kat,1,,,,,1,,,,,,,,,,,
Milky Way,1,1,1,,,,,,,,,,,,,,
Twix,1,,1,,,1,,,,,,,,,,,
Hershey's,1,,,,,,,,,,,,,,,,
Almond Joy,1,,,,,,1,1,,,,,,,,,
Butterfinger,1,,,,1,,,,,,,,,,,,
3 Musketeers,1,1,,,,,,,,,,,,,,,
Baby Ruth,1,1,1,1,,,,,,,,,,,,,
PayDay,,1,1,,,,,,,,,,,,,,
M&M's,1,,,,,,,,1,,,,,,,,
Crunch Bar,1,,,,,,,,,1,,,,,,,
Toblerone,1,,,,,,,,,,,,,,,,
Clark Bar,1,,,,1,,,,,,1,,,,,,
Charleston Chew,1,1,,,,,,,,,,,,,,,
100 Grand,1,,1,,,,,,,1,,,,,,,
Skor,1,,,,,,,,,,,1,,,,,
Mr. Goodbar,1,,,1,,,,,,,,,,,,,
Whatchamacallit,1,,1,,1,,,,,,,,,,,,
Zero,1,1,1,1,,,,,,,,,,,,,
Reese's Fast Break,1,1,,,1,,,,,,,,,,,,
Reese's Take Five,1,,1,1,1,,,,,,,,1,,,,
Heath Bar,1,,,,,,,1,,,,1,,,,,
Hershey's Cookies 'n' Creme,1,,,,,,,,,,,,,1,,,
York Peppermint Pattie,1,,,,,,,,,,,,,,1,,
5th Avenue,1,,,,1,,,,,,,,,,,,
Snickers Almond,1,1,1,,,,,1,,,,,,,,,
Cadbury Chocolate Bars,1,,,,,,,,,,,,,,,,
Dove Chocolate Bars,1,,,,,,,,,,,,,,,,
Oh Henry!,1,,1,1,,,,,,,,,,,,1,
Rolo,1,,1,,,,,,,,,,,,,,
Kinder Bueno,1,,,,,1,,,,,,,,,,,1
Zagnut,,,,,1,,1,,,,,,,,,,
Reese's NutRageous,1,,1,1,1,,,,,,,,,,,,
Bit-O-Honey,,,,,,,,1,,,1,,,,,,
Krackel,1,,,,,,,,,1,,,,,,,
